nombre,ingredientes italiano,mejor tipo de pasta,,ingredientes
"aglio, olio e peperoncino","aglio, olio e peperoncino",spaghetti,,"aglio, olio e peperoncino"
al pesto,"basilico, pinoli, olio, aglio, parmigiano, pecorino sardo, sale grosso",trenette,,"albahaca, piñones, aceite, ajo, parmesano, pecorino"
carbonara,"guanciale, tuorli, pecorino romano, pepe nero",spaghetti,,"guanciale, pecorino, huevos, pepe nero"
arrabbiata,"olio, aglio, pomodori pelati, peperoncino secco, prezzemolo",penne,,"aceite, ajo, tomate pelati, peperoncino, perejil, pecorino"
puttanesca,"pomodori pelati, olive nere, acciughe, capperi, peperoncino secco, olio, aglio, prezzemolo",spaghetti,,"tomates pelati, olivas negras, anchoas, alcaparras, ajo, aceite, peperoncino, perejil"
amatriciana,"guanciale, vino bianco, pomodori pelati, pecorino romano, olio, peperoncino fresco",bucatini,,
bolognesa ,"carne macinata di manzo, carote, cipolle, pepe nero, pancetta, olio, passata di pomodoro, sedano, vino rosso, brodo vegetale",tagliatelle,,
alle vongole,"aglio, olio, vongole, prezzemolo, pepe nero, ",spaghetti,,
cacio e pepe,"pecorino romano, pepe nero",spaghetti,,
alla gricia,"pecorino romano, pepe nero, guanciale",rigatoni,,
allo scoglio,"vongole, scampi, olio, prezzemolo, cozze, calamari, pomodorini ciliegino, aglio, vino bianco, pepe nero",spaghetti,,
alla Norma,"melanzane, ricotta salata, pomodori, aglio, olio, basilico,",rigatoni,,
Alfredo,"burro, parmigiano, pepe nero",fettuccine,,
burro e salvia,"burro, salvia fresca, parmigiano",spaghetti,,
con zucchine,"basilico, zucchine, olio, pepe nero, aglio",farfalle,,
calamarata,"calamari, aglio, peperoncino fresco, prezzemolo, pomodori ciliegino, vino bianco, concentrato di pomodoro, pepe nero, olio","calamarata, mezzi paccheri",,
al baffo,"prosciutto cotto, panna liquida, passata di pomodoro, prezzemolo, olio, pepe nero",penne,,
con le melanzane,"melanzane, pomodori ciliegino, basilico, cipolla, pepe nero, olio",rigatoni,,
alla Nerano,"provolone, zucchine, basilico, parmigiano, pepe nero, aglio, olio",spaghetti,,
allo scarpariello,"pomodori datterini, pecorino romano, parmigiano, basilico, peperoncino fresco, olio, aglio",spaghetti,,
al pomodoro,"pomodori pelati, olio, aglio, basilico",spaghetti,,
genovese,"girello di manzo, cipolla, sedano, carote, prezzemolo, alloro, vino bianco, olio",ziti,,
ragú bianco,"carne macinata di manzo, salsiccia fresca, aglio, carote, cipolle, pepe nero, pancetta, olio, sedano, vino bianco, rosmarino, salvia, alloro",tagliatelle,,
al salmone,"salmone affumicato, panna liquida, brandy, cipolla, prezzemolo, olio, pepe nero",tagliatelle,,
e patate,"patate gialle, timo, olio, pepe nero, scalogno, rosmarino",pipe rigate,,
e patate alla napoletana,"patate, sedano, carote, cipolle, lardo, concentrato di pomodoro, rosmarino, parmigiano, olio, pepe nero",pasta corta,,
carbonara di mare,"tonno, pesce spada, salmone, tuorli, vino bianco, parmigiano, aglio, timo, olio, pepe nero",spaghetti,,
alla boscaiola,"porcini, pancetta affumicata, passata di pomodoro, cipolle, panna liquida, olio, prezzemolo, pepe nero",penne,,
e fagioli,"fagioli borlotti, passata di pomodoro, lardo, prosciutto crudo, cipolle, sedano, carote, aglio, alloro, rosmarino, olio, pepe nero",ditaloni,,
ai 4 formaggi,"taleggio, parmigiano, gorgonzola dolce, groviera, latte, pepe bianco",penne,,
salsiccia e gorgonzola,"salsiccia, gorgonzola dolce, cipolle, timo, olio",caserecce,,
con le cime di rapa,"cime di rapa, pangrattato, aglio, olio, acciughe",orecchiette,,
broccoli e salsiccia,"broccoli, salsiccia, vino bianco, aglio, timo, rosmarino, olio, pepe nero, ",orecchiette,,
e ceci,"ceci, cipolle, sedano, aglio, pepe nero, pancetta affumicata, olio, passata di pomodoro, rosmarino, carote, vino bianco, concentrato di pomodoro",pipe rigate,,
alla cenere,"gorgonzola dolce, olive nere, panna liquida, pepe nero",rigatoni,,
con le cozze,"cozze, passata di pomodoro, olio, aglio, prezzemolo, pepe nero",spaghetti,,
con speck e funghi porcini,"porcini, speck, panna liquida, prezzemolo, aglio, pepe nero, olio",pappardelle,,
alla zozzona,"guanciale, salsiccia, pecorino romano, pomodorini ciliegino, olio, tuorli",rigatoni,,
tonno e limone,"limoni, tonno sott'olio, peperoncino fresco, olio, basilico, aglio",pasta corta,,
con zucchine e salsiccia,"salsiccia, zucchine, scalogno, aglio, pomodorini ciliegino, rosmarino, vino bianco, pepe nero, olio",farfalle,,
con crema di burrata e melanzane,"burrata, basilico, olio, melanzane, pinoli, pepe nero",spaghetti,,
al nero di seppia,"seppia, nero di seppia, aglio, olio, vino bianco, pepe nero, prezzemolo",linguine,,
con le telline,"telline, aglio, vino bianco, olio, peperoncino secco, prezzemolo",spaghetti o linguine,,
